score,next_action,name,chain,entity_type,address,category,liquidity_usd,tvl_usd,volume24h_usd,fdv_usd,price_change_24h_pct,verified_source,deployer_address,funding_cluster_id,source,url,reasons
113,recon_bravo_then_corecritical,0x6a7054e68b9335c31b75a4c67d2d6b5c819119b1,bsc,unknown_protocol,0x6a7054e68b9335c31b75a4c67d2d6b5c819119b1,fresh contract,0.0,100919831.96105786,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:100919832;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
113,recon_bravo_then_corecritical,0x6e395da41cf9362d30461d49f23fe57849b18498,bsc,unknown_protocol,0x6e395da41cf9362d30461d49f23fe57849b18498,fresh contract,0.0,30423482861.57768,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:30423482862;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
108,recon_bravo_then_corecritical,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,ethereum,unknown_protocol,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,fresh contract,0.0,20478314.893418614,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:20478315;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
108,recon_bravo_then_corecritical,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,ethereum,unknown_protocol,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,fresh contract,0.0,111901015.05267,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:111901015;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
103,recon_bravo_then_corecritical,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,bsc,unknown_protocol,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,fresh contract,0.0,9991536.394475223,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=1000000:9991536;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0xf92e277deec98f47f091b5c222c5f292f876864c,ethereum,unknown_protocol,0xf92e277deec98f47f091b5c222c5f292f876864c,fresh contract,0.0,1082156.4979816547,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=1000000:1082156;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
98,recon_bravo_then_corecritical,0x08bfa22bb3e024cdfeb3eca53c0cb93bf59c4147,ethereum,unknown_protocol,0x08bfa22bb3e024cdfeb3eca53c0cb93bf59c4147,fresh contract,0.0,1146164.454299,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=1000000:1146164;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0xfff4857a955b2b460c27fd431aa5a85fabca5559,bsc,unknown_protocol,0xfff4857a955b2b460c27fd431aa5a85fabca5559,fresh contract,0.0,562949.3454519768,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:562949;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,bsc,unknown_protocol,0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,fresh contract,0.0,722196.7672254929,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:722197;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
93,recon_bravo_then_corecritical,0xfd5840cd36d94d7229439859c0112a4185bc0255,bsc,unknown_protocol,0xfd5840cd36d94d7229439859c0112a4185bc0255,fresh contract,0.0,1.3986185552249276e+158,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:139861855522492756261332643763832571341125984532413280233484903321562842739915095615607743154115414709591937824463447988136556496626305422982169299015667023872;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18
93,recon_bravo_then_corecritical,0x588d7cf062f4edd7c7c7f2d66fd770e03b1ea735,bsc,unknown_protocol,0x588d7cf062f4edd7c7c7f2d66fd770e03b1ea735,fresh contract,0.0,141223042440.003,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:141223042440;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18
93,recon_bravo_then_corecritical,0x346575fc7f07e6994d76199e41d13dc1575322e1,bsc,unknown_protocol,0x346575fc7f07e6994d76199e41d13dc1575322e1,fresh contract,0.0,50552515863.08859,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:50552515863;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18
